description,company_name,name,address,city,country,languages,telephone,fax,website,linkedin
"
                We are an Uninterrupted Power Supply producer in Istanbul/TURKEY. We have 4000 m2 closed production plant in Dudullu/Istanbul and Free Zone/Istanbul. We produce smart Uninterrupted Power Supply (UPS)   with quite competitive price since 1995 as an ISO 9001 certified company. With 15 after sales service point in Turkey and qualified technical staff , we increased the reliability of our service to leader level. All products manufactured by ARTronic are supported by a tradition of service that helps customers achieve reliable solutions to their power supply needs. We are selling our products to many countries in Europe , Middle East , Balkans and Asia . Our products have known world standards like CE, TÜV, UL, CUL, FCC, and produced with ISO 9001 Quality System on computerized controlled quality test and product lines. At the end of 1999 we got the exclusive distributorship of AEG SVS Power Supply Systems which is pioneer of  power supply market.
                 
                 
            ",Artronic Electronic,Aziz Mutlu,Adil Mahallesi Mehmet Zahid Kotku Caddesi Enes Sokak No:2 B Blok  Sultanbeyli 34935,İstanbul,Turkey,English ,+(90)-216-3658221,+(90)-216-5924440,www.artronic.com.tr,https://www.linkedin.com/in/aziz-mutlu-14349020
"
                Established in 2004, ONAY Lightning Protection Ltd. is a leading manufacturer of Lightning Protection Systems in Izmir/TURKEY.  We have obtained ISO 9001 and CE certificates which you can find in our website. Please note that we produce our ESE Lightning products based on the regulation and NFC17-102 French standards. The quality of our products have been tested by Central Power Research Institute / India and Middle East Technical University /Turkey.  Since we are a preferred and well-known brand in Turkey and have already established our distribution channels locally, we have started our works for export in May 2012 so that we will also become a worldwide brand. After that time, Our Shining and High quality Lightning Rods, have been sold to many countries like; Vietnam, Thailand, Iran, India, Cambodia, Sri Lanka etc..  We have to say in a very short time, we have sold great quantities to those countries and we are expanding our order and partners step by step.   Anyway to have more information about all our products, please check our website and/or contact us at anytime. We will be happy to send you our price list with our NORMAL and LOWEST prices for your evaluation. You will be surprised to see our high quality Lightning Conductors at such competitive prices. Looking forward to see you within our partners, I Remain.
                 
                 
            ",Onay Lightning Protection Ltd,Can Yurteri,1593/1 Sokak No:15 Daire:108 Bayrakli,İzmir,Turkey,English - French - Italian ,+(90)-232-4861034,+(90)-232-4861034,www.onayparatoner.com,https://www.linkedin.com/in/can-yurteri-1259bab1
"
                Mahrek Technology was established to provide services in Telemetry Systems, Defense Industry, Security Solutions and Systems Integration fields in by combining the know-how and experiences of its existing partners in 2017.  Mahrek Technology aims to be one of the leading technology companies in Turkey, offering innovative and fast solutions to its customers by applying technological developments to its products and services. Since the day it was established, Mahrek Technology enriches its customers through effective and quality solutions on telematic systems (vehicle tracking, personnel tracking and container tracking), defense industry and security solutions (plate recognition, face recognition and closed circuit camera), object tracking, personnel tracking and density measurement systems that play a critical role in airport management. Supply Chain Management The primary objective of our supply chain management is to supply the most accurate products at the lowest cost to our customers with the cooperation of the Automotive Main Industry for a long time. Academic Collaboration Within the scope of University-Industry Cooperation, we are carrying out joint projects with distinguished universities and academic institutions of Turkey. System Integration Integration solutions developed for our customer needs allow the systems and applications in different areas work together. Data Mining By analyzing the data received from tracking devices, we provide strategic information improving the business processes of our customers. Embedded Systems In the field of embedded hardware and software, we produce customized solutions for the needs of customers through using our 20 years of experience. Server Software All data obtained from tracking devices are stored under high-security standards in encrypted form on our servers. Mechanic and Industrial Design Our products meet both structural and functional needs. Their designs are handled by expert engineers through deep knowledge in mechanical and industrial design. Mass Production Our products are developed by testing in accordance with international standards in our production facility in Gebze.
                 
                 
            ",Mahrek Technology,Salih Selamet,"Örnektepe Mah., İmrahor Cd., Sivaseli Sk. No:4 , Sütlüce  Beyoğlu  34445",İstanbul,Turkey,,+(90)-850-5600330,,www.mahrek.com.tr ,https://linkedin.com/in/salih-selamet-22a36b59
"
                Our company has started manufacturing in Zafer Industrial Estate for trailers and semi trailers since 1996 - Started to manufacture  tippers in 1996 - In 2004, cement bulker manufacturing - In 2005, mixer manufacturing - In 2012,Steel Adr tanker manufacturing -In 2015,Aluminium tanker and dry bulker manufacturing with full automatic robot welding technology -In 2016, Aluminium  trailer tanker and  trailer dry bulker  manufacturing  Unlike any of its competitors in the industry innovation and R & D developments following our company has kept the work in the foreground. Important steps towards becoming a European brand at our company, quality ISO 9001 - 2008 and started to export. Increase production capacity and manufacturing automation systems to the trailer with our firm, the 2nd industrial area 10,000 m2 covered, 25,000 m2 of open space, all kinds of trailers and semi trailers are manufactured.  The main products we produce ADR Tanker, Dry  Powder Silo ,Tipper, Dry Goods Carrier,Container trailer Twin Chassis Group, and each kind of special-purpose container trailer, semi-trailer.  Always quality, customer satisfaction, after sales service and spare parts guarantee and flexible manufacturing capacity and Turkey, an important place in the market, our company, Iran, Venezuela,﻿, U.A.E, Sudan ,Kenya, Russia, Ukraine, Kuwait, Qatar ,Macedonia,Tanzania,Nigeria,Gabon,Trinidad&Tobacco,Azerbaijan,Kazakhistan,S.Arabia,Malta,Ivory coast...etc ﻿exporting 32 different countries
                 
                 
            ",Nursan Trailer,Nazif Yıldırım,Konya Organize Sanayi Bölgesi 20. Sk. No: 14,Konya,Turkey,,+(90)-332-2391812,+(90)-332-2391816,www.nursantrailer.com,https://linkedin.com/in/nazif-yıldırım-60962946
"
                Starting manufacturing aluminum alloy wheels for automobile manufacturers ( OEM ) in 1985,  CMS, is one of the leading wheel manufacturers of the world in the sector of “Light Metal Alloy Wheel”, as a company implementing high technology and innovations. Having the manufacturing capacity of approximately 3 million wheels annually, Pınarbaşı plant, the headquarters of CMS, is situated on a total area of 32.175 square meters 20.944 square meters of which is closed area. Çiğli Plant was established in 2003 on a total area of 69.215m2. The production capacity of this plant is approximately 2,5 million wheels/year. CMS GmbH, one of the sales companies of CMS Group, was founded in 1997 in Germany (Frankfurt) and has been one of the important players of aluminum wheel sector. The awards and the certificates that CMS Group has acquired in various branches since 2000 are the proof of its success formula namely; close observation of the global market, being open to new ideas, believing in corporate governance, focusing on success and planning, committing to innovations and being aware of its social responsibility. 
                 
                 
            ",CMS Rim and Machine,Nur Özkan,Kemalpaşa Cad. No:302  Pınarbaşı 35060,İzmir,Turkey,,+(90)-232-3991000,+(90)-232-3991010,www.cms.com.tr,https://www.linkedin.com/in/nurozkan
"
                
                 
                 
            ",Defne Aviation,Onur Uca,Sanayi Mah. Mimsan Sanayi Sitesi 1725 Sok. 36 A Blok No:53-55  Esenyurt 34528,İstanbul,Turkey,English ,+(90)-212-6975512,,www.defneaviation.com.tr,https://linkedin.com/in/onur-uca-261759115
"
                It was established in the year 1985 and is innovative, pioneer and leader company of vehicle-top-equipment sector in Turkey with the experience more than 30 years. Having the widest range of product in its sector with the production of approximately 30 different equipment certified with quality certificates, the Company carries out turnkey production under a single roof. Within the product range, designs and productions of Fire Trucks, Environmental Vehicles, Transportation Vehicles, Defense Specific Vehicles, Construction Specific Vehicles and Special Products take place. Among these products, there are various vehicle-top-equipment having diverse functions to ease the life from the fire trucks to garbage truck, from vacuum truck to channel opening vehicles, from tankers to rescue vehicles and from dampers to mobile maintenance vehicles. Company also produces riot control vehicles (TOMA) with its ability of production based on state-of-art technology. The company takes significant steps to enter the defense industry with its experience and knowledge for years. Obtaining Plant Safety Certificate from Ministry of National Defense and getting ready to take place in the sector of armored personnel carriers initially, Katmerciler has established a new factory in Ankara Organized Industry Zone for this purpose and also has operationalized Ankara Branch of the company. Powerful Project and R&D Departments provide a significant competition advantage with the company. It has the most powerful R&D Center in the sector by obtaining the certificate of “R&D Production Center” from Ministry of Science, Technology and Industry. Katmerciler does business with the automotive giants in the world such as Ford, BMC, Hyundai, Isuzu, Iveco, MAN, Mercedes, Mitsubishi, Renault, Scania and Volvo for the production of vehicle-top-equipment. It has ability to design and produce equipment rapidly for the vehicles on various brand and types by means of the wide range of design portfolio in the sector, in which each order may require a new design. The company comes to the prominent with the flexible production ability, rapid respond to the demands and reliable post-sales services. Katmerciler carries out production in the closed area of 17 thousand m2 on the field of 31 thousands 500 m2 within the Izmir Çiğli Atatürk Organized Industry Zone where it has integrated and modern production system for years. Ankara Factory has been added into the production area since the year 2016. Making important contribution to country economy and employment directly or indirectly, Katmerciler is the biggest exporter in the sector as an exportation-specific company. Up to now, it has realized exportation to 50 countries approximately. Executing the first exportation to Japan in 1998, Katmerciler incudes many countries in its exportation network from Japan to Egypt, from France to Nigeria, from India to Algeria and from Germany to Qatar and Thailand. According to TIM data, it is the biggest exporter in its sector for years. It is one of the ISO 2 – 500 Biggest Industrial Company. It is among the companies which are the biggest in Aegean Region and create employment and pay the most tax. Being dealt in Borsa Istanbul as a company open to public since November 2010, Katmerciler is the only representative of sector in Turkey in the stock market. Furthermore, it is the third producer of vehicle-top-equipment being dealt in stock markets in the world following two companies originated from USA and Austria. It is a clear and transparent company which acts in the sense of responsibility against thousands of investors in every step, and is managed by the perception of corporate citizenship. With the activity reports issued in three years after public offer, it has obtained awards three years in a row in the competition which is held by League of American Communications Professionals-LACP and in which “The Best Activity Reports” are determined internationally. It creates difference in the sector with the post-sales services as a company carrying out production based on advanced technology with the innovative perception, and considering quality and customer satisfaction in all the process and working as per a perception of business without ignoring the quality. In the direction of pioneer and innovative approach, Katmerciler foresees to widen the production range with the new products by integrating the possibilities of advanced technology into the production processes in the highest level, and to increase the product and service quality by means of the automation systems and to reinforce its position in the exportation countries as well as the domestic markets. The aim of the company is to make Katmerciler a more strong, efficient and prestigious brand in international vehicle-top-equipment sector.
                 
                 
            ",Katmerciler Vehicle Top Equipments,Ismail Hakkı Kırkıl,10032 Sokak No:10 A. O. S. B. Çiğli,İzmir,Turkey,,+(90)-232-3767575,+(90)-232-3767581,www.katmerciler.com.tr,https://www.linkedin.com/in/ismail-hakki-kirkil-9785a231
"
                TEST AS, formerly known as TUMEL ELEKTRONIK located in Izmir-Turkey is an independently owned company, offering a wide range of power protection products and services to a wide spectrum of industries and sectors. During the establishment years the company manufactured electronic control devices and inverters, then in 1986 when the IT sector started developing rapidly, Test AS sensed the great need for clean, uninterruptible power and started designing and manufacturing Uninterruptible Power Supplies. As well as an extensive standard UPS range Test AS also offers a variety of other products such as Static Transfer Switch (STS), frequency and voltage converters, inverters and rectifiers under it’s registered trademark “Tescom”. Today all Tescom branded power protection products are manufactured by a group of almost 20 greatly experienced engineers and a staff of over 200 people. One of the greatest advantages of Test AS has always been, flexibility. Which means we do not only offer standard products. Thank’s to our highly experienced R&D team we also design and manufacture products according to customers requirements. Test AS has always made widespread use of the latest developments and technologies in manufacturing, which complies with all the necessary international standards (EN “CE”, ISO9001, ISO14001,OHSAS:18001, TSE, GOST) and norms. All these past years of experience, has lead to over 130,000 manufactured power protection products which have been delivered to customers in more than 40 countries in four continents.
                 
                 
            ",Tescom UPS,Ramazan Özdemir,Dudullu Organize Sanayi Bölgesi 2.Cadde No:7 Ümraniye,İstanbul,Turkey,,+(90)-850-2778877,+(90)-216-5722818,www.tescom-ups.com,https://www.linkedin.com/in/ramazan-özdemir-78ba7073
"
                Izmir Brush Industry and Trade Inc founded in 1993 in order to produce and supply quality paint brushes, paint rollers, painting tools for construction sector and car wash brushes ,brooms and mops for cleaning  group to both domestic and international markets. Izmir Brush is a registered incorporation at Izmir Chambers of Commerce and Industry, Aegean Exporters Association, Anatolian Exporters Association, TSE, and BIST.  The company is a solution partner for many industries in textile, glass, food and similar sectors in and outside Turkey.  Founding the future, Izmir Brush considers environmental issues by adopting sustainable policies and playing role in social issues while focusing to continue innovative actions in product and processes involved.
                 
                 
            ",İzmir Brush Industry and Trade,Muzaffer Gezgin,M. Kemal Atatürk Blv. No:18 A.O.S.B. Çiğli 35620,İzmir,Turkey,English - German - French ,+(90)-232-3283187,+(90)-232-3283220,izmirfirca.com.tr,https://www.linkedin.com/in/muzaffer-gezgin-4b407ab8
"
                An industrial enterprise established in 1966 in Turkey manufacturing and marketing industrial, residential boilers and pressure vessels.  COMPANIES Erensan Isı Cihazları Pazarlama ve Servis A.Ş. - Marketing, sales and after sales services, export and import of Erensan products Erensan Isı Tekniği Sanayi ve Ticaret A.Ş. - Manufacturing of residential boilers, steam boilers and pressure vessels Erensan Echipamente Termice Srl. - Marketing Company in Romania ACTIVITIES The activities are operationally divided into two groups;  1. Residential Heating Division (RHD)  RHD is manufacturing and marketing central heating boilers, burners, pumps and controls 2. Process Heat Division (PHD).  PHD is manufacturing and marketing industrial steam, hot water and diathermic oil boilers together with industrial burners, pumps, controls and other peripheral equipment that are part of an industrial boiler room.The in-house contracting division installs and erects turnkey boiler rooms for industrial clients.  MANIFACTURING The Group have a big factory in Yozgat.  The Yozgat factory is dedicated to the manufacturing of central heating boilers and steam boilers. Yozgat is a city granted with special incentives for investment located 200 km east of Ankara. The geographical location is in the middle of Anatolia strategically adjacent to major natural gas lines extending from the east, west and the north. The facilities are built on 30.000 m² area with 10.000 m² closed production space.  SIZE The Groups' current enrollment is 270 personnel employed in both factories, Istanbul headquarter, Ankara Branch Office and Yozgat MARKETS With running over 100.000 boilers since its establishment, the Group is the market leader in Turkey in industrial boilers and central heating boilers. In both fields of activity, the group is active on the export markets serving 70 different countries covering Europe, Middle East and Africa. Major export markets are United Kingdom, France, Italy, Holland, Spain, Russian Federation and C.R.S. countries. Also private labeled European boilers are manufactured in two facilities. Erensan has private labeling agreements with the major boiler manufacturers of the world.  KNOW HOW AND TECHNOLOGY The Group has utilized the Swiss YGNIS design and know-how in boiler design as a licensee of the same since 1966. However a number of its designs for boilers, pressure vessels and heat exchangers have been developed and used for different applications by own engineering team.  CERTIFICATIONS Products were CE certified by the certified European associations such as Bureau Veritas, TSE, TSEK, GOST and GOSGORTECHNADZOR, UKPRO, TÜVSÜV, DVGW, BUREAU VERITAS, ADVANTICA, SZUTEST and TECHNIGAS. ISO 9001 : 2008 Quality Management System Certificate was granted by Bureau Veritas.  ISILAB With 3 MW capacity, ISILAB is the biggest testing laboratory in Turkey and in Europe as well. Capacity, efficieny, exhaust gas emsissions and other related tests can be carried out acc. To 92/42/EEC Hot Water Boilers and 2009/142/EEC Gas Appliances Directives by authorised personel under presence of notified bodies. All measuring and recording equipments are in compliance with the related norms and directives.
                 
                 
            ",Erensan Co. Ltd.,Gözde Engin,Sanayi Cad. Altay Sk. No:7  Yenibosna 34196,İstanbul,Turkey,,+(90)-212-5510500,+(90)-212-5513484,erensan.com.tr,https://www.linkedin.com/in/g%C3%B6zde-engin-5b8714157
"
                The founders of Elfatek Elektronik who have brought their 15 years of experience in the industrial electronics sector to the Crane remote control sector in 2006, have produced the first crane remote controls with 80 channels and 120 hours of operating life in Turkey with the project support of TUBITAK. Elfatek produces all electronic parts, software and mechanical parts of its remote controls under its own roof. Elfatek has become the leading crane remote control producer and designer of Turkey with its technological infrastructure investments and continuous research and development activities up to now. The firm continues its activities with its young and dynamic engineer staff for developing the high-performance and high-quality products required by the industry
                 
                 
            ",Elfatek Electronic,Metin Dereli̇,Modesa Sanayi Sitesi 10735 Sk. N0 : 10  Karatay,Konya,Turkey,,+(90)-332-3453883,+(90)-332-3453884,www.elfatek.com.tr,https://linkedin.com/in/metin-dereli-4a999710b
"
                Azm-ü Sebat was founded at Söke by Osman Bey around 1930’s which was produced first animal drawn plough in Turkey. After 1960 the company started to continue production process with new products az Azim Ziraat Aletleri that was managing by Faris UYGUNTÜZEL. Turkish farmer met cotton seed sowing machine, disc harrow, rotary plough, rotating land leveling blade, scraper and fertilizer spreader which are domestic product.  Azim Ziraat Aletleri is one of the most experienced company in production of agricultural machines that is landed a field in Aydın in Ortaklar which is 12868 m2 . Azim Ziraat Aletleri has been producing goods and services for domestic and foreign farmers since 1967. We present qualified and trustable goods to farmers who are all around the World that are confirmed by CE certificate, TSEK and ISO 9001:2008. 
                 
                 
            ",Azim Agricultural Products,Tuncay Lale,Ortaklar Mah. Alparslan Türkeş Naipli Bulvarı No:50  Germencik,Aydın,Turkey,,+(90)-256-5771037,+(90)-256-5771205,www.azimziraat.com.tr,https://linkedin.com/in/tuncay-lale-58668184
